,x_lon,y_lat,pop,demand,land_price,street_count,I1_max,upper_bound,grid_distance_km
x_lon,1.0,-0.23620270580677685,0.12653476314696477,0.1265347631469652,-0.24365078229206946,-0.1185072598347039,-0.006393576276340797,0.1196010829191941,-0.39413297411746345
y_lat,-0.23620270580677685,1.0,0.09665627311335961,0.09665627311335936,0.12281813493821679,-0.04575518287809068,0.0367188160369742,-0.05206269539359343,0.34089169507947015
pop,0.12653476314696477,0.09665627311335961,1.0,0.9999999999999983,-0.23043746922378303,-0.31456786717173396,-0.06589663779318074,0.09277860480970493,-0.009351351788374533
demand,0.1265347631469652,0.09665627311335936,0.9999999999999983,1.0,-0.2304374692237834,-0.3145678671717337,-0.06589663779318063,0.09277860480970505,-0.00935135178837456
land_price,-0.24365078229206946,0.12281813493821679,-0.23043746922378303,-0.2304374692237834,1.0,0.7511370527851142,-0.03593999125880645,-0.5505681982288411,0.10205545453061
street_count,-0.1185072598347039,-0.04575518287809068,-0.31456786717173396,-0.3145678671717337,0.7511370527851142,1.0,0.04852126824518688,-0.3520342766445058,0.016691314265306845
I1_max,-0.006393576276340797,0.0367188160369742,-0.06589663779318074,-0.06589663779318063,-0.03593999125880645,0.04852126824518688,1.0,0.6891137087705866,0.10291832919001916
upper_bound,0.1196010829191941,-0.05206269539359343,0.09277860480970493,0.09277860480970505,-0.5505681982288411,-0.3520342766445058,0.6891137087705866,1.0,0.04446456985934775
grid_distance_km,-0.39413297411746345,0.34089169507947015,-0.009351351788374533,-0.00935135178837456,0.10205545453061,0.016691314265306845,0.10291832919001916,0.04446456985934775,1.0
